Spectra #,Intensity_G-,Shift_G-,FWHM_G-,Intensity_G+,Shift_G+,FWHM_G+,Intensity_D,Shift_D,FWHM_D,Intensity_2D,Shift_2D,FWHM_2D,Intensity_RBM,Shift_RBM,Intensity Ratio_2_1,Intensity Ratio_3_1
0,0.20017401662715256,1537.1128151431424,27.37586742691138,0.9422955365295524,1586.266224018223,27.08478801819383,0.07492592855204178,1301.5833687449276,52.05183434487879,0.16114881644514273,2587.5433715577833,83.93772380486465,[0.05039384 0.07676414 0.05041273],[256. 282. 306.],0.07951425603478059,0.1710172766376982
1,0.19970385751148992,1528.2789748744242,29.75966501173535,0.9507973787980074,1577.7028658434836,33.309464868065,0.053394797157440714,1301.7100619763949,61.65768742333944,0.19270738756101644,2575.9181682533026,104.55958474233832,[0.05969485 0.05155284 0.06064171 0.06770762 0.06538126],[213. 241. 252. 281. 304.],0.056157913713374044,0.20267976317376474
2,0.17994132021469564,1533.7747909034572,26.87234549353393,0.9586441733082025,1582.3068242439028,26.391421490902932,0.06665612199221306,1299.553118447597,55.74111940188846,0.16223697142035115,2583.8552954839033,86.80068322670607,[0.04324684 0.05521299 0.0543439  0.04836746],[255. 282. 306. 333.],0.06953166132767306,0.16923586033020432
3,0.20210235965913512,1536.2247218418113,26.555102420120516,0.9385468703343829,1585.3983259564118,26.828180019290592,0.07609720286000407,1300.0611099840003,54.1332133116184,0.1569741392555863,2585.5362543108326,88.48660729351352,[0.05712123 0.07517942 0.06098081 0.05591775],[255. 282. 306. 333.],0.08107981099856246,0.16725231761697737
4,0.20299020053120798,1533.9518037406822,29.086125931268015,0.9445017995412215,1583.1983352536588,28.9699323533584,0.079756635694366,1300.1651994310498,55.18280669189332,0.16447889717687023,2583.457565006868,93.06953297936292,[0.05071274 0.05380965 0.06992857 0.06160441 0.05259253],[215. 254. 281. 305. 333.],0.08444307436270282,0.17414355087175434
5,0.16684303235808956,1532.6316268080639,27.552183928306185,0.9663169265767697,1580.9707407514513,26.7190852998483,0.05980627883497363,1298.8822711226692,52.313021639360805,0.16090501119615336,2583.498904339663,84.3467854861539,[0.0415445  0.05511229 0.0530556  0.04249145],[255. 281. 305. 333.],0.06189095646584669,0.16651370453187456
6,0.19294726821313643,1534.76202184458,27.905876814506218,0.956569190612458,1583.5623729225576,26.861315478832644,0.07122455603099608,1299.4090192738317,53.46030258688622,0.1486319693087671,2584.5267019685325,86.18760760262055,[0.04501936 0.06156215 0.0538053  0.04893529],[254. 281. 306. 333.],0.07445834209378357,0.15538025975267217
7,0.1965383955189029,1534.7626988624895,26.67229317336636,0.9571926790355096,1583.6996435553694,26.805790640055726,0.06982377500416699,1299.902318491749,57.40538530485924,0.14852562538583466,2585.0361767492404,86.43417061472614,[0.04636256 0.06060817 0.0519158  0.04771625],[255. 281. 306. 333.],0.0729464156313054,0.15516794960811092
8,0.20503242580156678,1534.7060532856083,27.603143487478505,0.9527801180904717,1583.9230623661524,27.946293645023086,0.08141415456639028,1299.9308995937654,55.06018413223312,0.1471499808940689,2584.788845916294,89.784912451537,[0.04854092 0.06384003 0.05713914 0.05111996],[255. 282. 306. 333.],0.08544904854811376,0.15444274927669743
9,0.17242112119833164,1532.032702991446,27.656989844169185,0.9658642519269081,1580.5543816316203,26.760076492146194,0.05801943597777542,1298.173224862651,51.48986989574027,0.1485309391648252,2582.410866435911,86.2741195246656,[0.05672407 0.05737278 0.04728992],[281. 305. 332.],0.0600699693171438,0.15378034632558832
10,0.18002567757065147,1534.0226532421523,27.14582472735325,0.9636656022122947,1582.5077194899482,26.181499958507743,0.06390498029602212,1299.0887474621863,52.280258528069524,0.14431530054814146,2584.497285600544,83.80424626936873,[0.04378808 0.05745929 0.05325544 0.04786589],[254. 281. 306. 333.],0.06631447687799062,0.1497566170431275
11,0.20480665793886738,1533.5865996961725,29.17509718950881,0.9431784850149579,1583.1543768317936,28.72178367102056,0.07450425891064369,1299.1706553858462,58.30287984085479,0.14599177340653713,2583.0984043426665,91.59597863473412,[0.05170168 0.06840161 0.06189638 0.05197242],[254. 281. 305. 332.],0.07899274643596448,0.15478700556260233
12,0.20006028857764374,1535.7811819648146,25.997165692343152,0.9552204345229578,1584.7309307103112,26.277924179600237,0.06843384240035656,1299.9569663556333,52.68464800692173,0.15626304210343178,2585.605389311437,86.93644761466022,[0.04096323 0.05949159 0.04847324 0.04248993],[254. 281. 306. 334.],0.0716419372189549,0.16358846236520305
13,0.21400768996260347,1531.2050599926035,31.638516161147873,0.9339570510486153,1580.9278764086728,29.798601874688195,0.06943631990417103,1298.8043607764175,55.53586919576546,0.161608749408425,2579.673456050506,99.26658600074039,[0.05709658 0.06411553 0.07206344 0.05833313],[214. 281. 305. 332.],0.07434637366483854,0.17303659651905426
14,0.19605536720326175,1532.857194938039,29.37826540834352,0.9555365462282052,1581.4902712411733,29.562866480455828,0.054778816122985956,1299.9671433432256,54.32889441673891,0.17334635471061316,2581.4577017134598,95.98144568398467,[0.05418662 0.07059422 0.06460304],[254. 282. 305.],0.057327808485415535,0.18141258478795416
15,0.18839709808615052,1526.0515805017737,30.906316232003345,0.9697862996174297,1575.3554295848082,34.163715164297656,0.06316897018676937,1305.6358710191607,85.81262286695444,0.19037975783851205,2576.0892878093814,104.47422464425063,[0.05170513 0.0490206  0.06070427 0.05887273],[212. 253. 279. 304.],0.06513699998823334,0.19631104080725292
16,0.23228850272585508,1539.7370572958523,25.250642587422384,0.9308556499922244,1589.4658408844168,27.81029631301687,0.09062683472772981,1304.952819961109,66.51838259016536,0.14782772721695106,2590.2238642386656,87.72463449720786,[0.05545362 0.09195007 0.05890371],[256. 283. 308.],0.0973586342076635,0.1588084330993596
17,0.22594006763967817,1533.1181910537516,34.845383120603564,0.9171432135905982,1584.176409671705,32.514819711566226,0.10179730523671357,1301.6092216438535,64.6761784285816,0.16842940194455086,2580.094710977907,108.2037736325879,[0.09048177 0.08745638 0.08253188],[281. 304. 332.],0.11099390338198006,0.18364569398616923
18,0.18167539297753207,1536.1813456414345,27.9529859519676,0.9474679829000408,1584.6710793659697,26.863070700231756,0.08775934331684856,1303.0792186326219,63.710516269328664,0.15163571382797975,2586.5626795013327,89.70474596005589,[0.05645905 0.07854764 0.06159944 0.0550702 ],[257. 283. 307. 333.],0.09262512813175167,0.16004310073238384
19,0.1798162394237359,1538.272987287242,23.111214342220826,0.9682162567574891,1586.1588413233803,23.538634130314975,0.06307546459443113,1301.1150763991582,47.69337998763304,0.15168438036824822,2589.5801101395787,77.04969920185776,[0.03938886 0.06066723 0.04179334],[256. 282. 307.],0.06514604991829812,0.15666374047078294
